352,371,405
78,135,395
52,328,348
89,171,298
14,215,217
40,56,69
173,255,312
114,223,243
110,175,342
182,185,374
50,237,349
227,274,288
44,117,323
19,116,138
47,55,111
149,166,401
152,181,402
71,96,366
12,161,418
133,142,341
7,32,146
191,375,389
86,178,424
212,368,396
97,279,394
177,272,344
100,105,260
76,81,369
148,228,277
31,74,392
130,289,334
53,119,120
2,77,205
221,275,310
35,121,358
84,314,383
9,51,238
66,80,400
62,194,244
20,29,225
154,170,370
10,127,364
21,109,386
103,245,315
91,218,297
83,184,199
82,165,192
108,250,428
67,125,308
3,354,385
159,168,264
87,256,329
189,259,304
5,92,134
54,248,331
254,321,339
60,95,398
13,203,409
247,311,325
33,337,412
169,261,287
8,94,326
145,155,291
1,46,393
25,123,359
118,213,302
42,296,338
200,293,416
160,235,391
28,335,411
79,210,320
220,222,294
4,151,421
58,258,414
193,273,317
129,141,423
183,207,266
132,232,360
36,90,219
18,61,236
85,164,299
104,202,336
11,106,419
241,251,346
22,113,174
292,305,353
188,276,278
214,355,367
224,410,422
64,204,351
102,267,343
112,187,362
257,271,413
101,126,403
34,226,406
162,301,318
186,399,429
156,263,380
122,128,246
26,65,163
131,262,306
157,307,356
39,68,143
45,63,144
38,179,270
24,27,282
233,269,280
295,379,388
59,365,372
93,201,390
253,309,330
124,284,286
316,332,415
107,139,150
75,158,211
167,300,327
43,239,347
88,196,387
195,197,252
242,373,404
72,324,384
180,230,350
49,140,378
6,198,407
70,176,216
57,290,397
30,136,313
333,345,376
17,98,229
48,303,417
190,361,408
23,340,363
206,208,382
41,265,381
285,319,377
172,420,427
115,153,231
73,99,209
268,281,357
240,249,322
137,234,283
15,16,426
37,147,425
16,132,147
137,187,397
162,212,280
34,333,357
8,194,358
35,308,396
85,96,414
41,124,345
231,241,399
1,24,330
121,218,417
258,299,312
55,163,429
262,373,392
169,188,296
62,108,255
87,360,368
21,70,207
111,120,388
107,138,177
2,33,76
141,261,307
233,369,384
173,374,409
213,366,398
82,201,334
9,37,61
317,319,331
97,115,298
140,227,350
83,99,195
67,117,363
143,205,305
57,80,109
19,112,419
217,245,343
17,185,253
3,22,310
208,230,329
43,226,321
23,30,68
18,234,371
211,304,339
71,214,318
26,59,292
13,14,200
6,63,403
93,251,385
95,268,337
15,32,407
44,113,192
210,284,364
73,301,425
69,118,216
222,378,387
48,50,418
90,168,391
153,196,228
105,128,148
29,77,410
171,271,428
326,335,372
223,276,406
159,338,422
4,219,244
74,156,288
116,182,352
154,375,412
89,291,421
287,351,411
283,362,424
45,104,269
136,150,401
28,110,273
10,267,405
75,332,402
78,127,264
167,257,286
49,149,252
161,179,202
160,191,224
263,294,393
52,142,144
152,293,311
106,220,400
290,342,420
27,53,260
114,165,315
341,376,382
46,186,324
5,92,354
42,178,322
25,102,126
72,189,289
39,386,415
180,221,266
190,238,254
58,199,336
12,215,232
285,353,361
56,279,316
64,277,426
101,184,236
54,86,145
38,100,327
98,146,365
31,91,303
81,151,204
47,166,278
125,170,390
103,248,281
164,183,344
60,239,270
84,297,306
295,300,370
130,193,416
355,383,423
122,206,247
20,176,394
7,66,381
175,282,348
88,240,309
129,158,197
250,320,328
94,181,380
65,172,225
274,346,356
174,314,359
11,235,427
198,272,413
133,209,389
123,325,349
134,347,395
51,119,259
135,246,275
313,340,379
323,377,404
40,229,302
79,203,237
131,139,408
155,157,249
36,242,256
243,265,367
66,134,352
223,246,289
88,132,294
244,407,408
72,98,410
23,59,104
191,253,277
177,255,391
27,174,181
56,211,415
10,380,418
39,102,245
250,298,355
73,114,318
182,349,426
247,362,376
110,357,390
25,94,203
327,336,398
86,176,382
206,358,425
40,155,384
145,233,331
32,301,365
6,14,406
291,367,429
308,330,396
221,333,424
50,143,241
196,292,312
129,319,361
63,257,275
57,70,395
121,360,379
96,258,274
92,194,385
187,190,394
119,239,393
226,248,288
144,161,180
3,78,225
91,195,341
151,235,334
264,402,420
153,209,427
210,237,423
52,111,322
69,185,212
54,150,369
101,202,366
30,60,287
22,213,230
21,120,414
26,130,268
17,198,201
36,345,405
33,48,112
13,118,139
122,163,272
24,47,103
79,399,411
28,46,133
74,136,238
61,152,280
192,260,285
51,62,113
34,84,412
12,207,350
335,339,403
11,197,342
31,179,208
99,216,370
80,305,387
15,347,421
2,146,173
169,270,356
148,254,422
306,329,416
147,172,338
76,77,401
64,106,165
149,170,413
188,279,377
158,200,400
20,53,175
65,193,217
115,346,364
199,283,302
44,67,263
58,164,313
105,220,321
49,205,262
162,295,320
234,249,309
5,278,286
127,284,353
18,348,378
340,343,374
261,344,392
55,252,290
4,95,276
42,219,228
281,307,428
81,156,397
93,214,251
82,85,386
8,71,293
137,243,315
138,157,324
90,100,160
128,282,326
184,354,372
314,371,375
43,109,368
256,265,300
7,154,269
35,183,359
259,388,404
38,83,236
97,135,317
204,232,325
37,166,266
240,242,381
1,117,304
328,383,409
19,45,159
108,171,231
16,141,310
273,297,363
29,89,229
215,296,316
107,389,419
167,222,337
124,131,299
75,189,373
142,186,351
140,168,227
267,303,323
9,125,311
68,87,271
